"","date","future expiration","adjusted close","expiration","strike","call/put","ask","bid","settlement price","ttm"
"4453",2015-06-09,2015-06-22,60,2015-06-17,60,"P","0.9","0.83",1.06,8
"4454",2015-06-09,2015-06-22,60,2015-06-17,60,"C","1.47","1.36",1.2,8
"4455",2015-06-09,2015-06-22,60,2015-06-12,60,"P","0.97","0",0.69,3
"4456",2015-06-10,2015-06-22,61.5,2015-06-17,61.5,"P","1.21","1.05",1.02,7
"4457",2015-06-10,2015-06-22,61.5,2015-06-17,61.5,"C","0.91","0.75",0.95,7
"4458",2015-06-11,2015-06-22,61,2015-06-17,61,"P","1.14","1.05",1,6
"4459",2015-06-11,2015-06-22,61,2015-06-17,61,"C","0.7","0.63",0.77,6
"4460",2015-06-11,2015-06-22,61,2015-06-12,61,"P","0.74","0.54",0.6,1
"4461",2015-06-11,2015-06-22,61,2015-06-12,61,"C","0.33","0.18",0.37,1
"4462",2015-06-11,2015-07-21,61,2015-06-26,61,"C","1.77","1.26",1.67,15
"4463",2015-06-11,2015-07-21,61,2015-06-19,61,"P","1.19","0.97",0.99,8
"4464",2015-06-11,2015-07-21,61,2015-06-19,61,"C","1.2","0.94",1.21,8
"4465",2015-06-12,2015-06-22,60,2015-06-17,60,"P","0.87","0.4",0.83,5
"4466",2015-06-12,2015-06-22,60,2015-06-17,60,"C","0.85","0.6",0.79,5
"4467",2015-06-12,2015-06-22,60,2015-06-12,60,"P","1.31","0.02",0.04,0
"4468",2015-06-15,2015-06-22,59.5,2015-06-17,59.5,"P","0.69","0.59",0.71,2
"4469",2015-06-15,2015-06-22,59.5,2015-06-17,59.5,"C","0.8","0.7",0.73,2
